"Year","District","Species","Hunters","T_harvest","Bucks","Does","Bow","Rifle","four_plus","ung","Bulls","Cows","six_plus","p_success"
2004,"100","all_deer",3496,1695,1173,508,22,1673,646,"deer",NA,NA,NA,0.484839816933638
2004,"100","md",3496,222,222,0,2,221,103,"deer",NA,NA,NA,NA
2004,"100","wt",3496,1464,947,506,21,1444,543,"deer",NA,NA,NA,NA
2004,"101","all_deer",3007,1391,982,395,21,1370,567,"deer",NA,NA,NA,0.462587296308613
2004,"101","md",3007,204,203,2,0,204,107,"deer",NA,NA,NA,NA
2004,"101","wt",3007,1177,777,386,17,1160,459,"deer",NA,NA,NA,NA
2004,"102","all_deer",3826,1697,1195,495,27,1670,742,"deer",NA,NA,NA,0.443544171458442
2004,"102","md",3826,100,92,8,0,100,42,"deer",NA,NA,NA,NA
2004,"102","wt",3826,1596,1103,485,27,1568,700,"deer",NA,NA,NA,NA
2004,"103","all_deer",3950,1645,1227,402,11,1633,668,"deer",NA,NA,NA,0.416455696202532
2004,"103","md",3950,418,402,16,0,418,207,"deer",NA,NA,NA,NA
2004,"103","wt",3950,1227,825,387,11,1216,461,"deer",NA,NA,NA,NA
2004,"104","all_deer",2256,919,648,264,12,907,393,"deer",NA,NA,NA,0.407358156028369
2004,"104","md",2256,150,148,2,0,150,93,"deer",NA,NA,NA,NA
2004,"104","wt",2256,764,496,262,12,752,296,"deer",NA,NA,NA,NA
2004,"109","all_deer",616,300,213,85,0,300,140,"deer",NA,NA,NA,0.487012987012987
2004,"109","md",616,74,74,0,0,74,47,"deer",NA,NA,NA,NA
2004,"109","wt",616,226,139,85,0,226,92,"deer",NA,NA,NA,NA
2004,"110","all_deer",2241,867,717,142,13,854,482,"deer",NA,NA,NA,0.386880856760375
2004,"110","md",2241,104,104,0,0,104,76,"deer",NA,NA,NA,NA
2004,"110","wt",2241,755,605,142,13,742,399,"deer",NA,NA,NA,NA
2004,"120","all_deer",2533,1087,730,341,28,1059,398,"deer",NA,NA,NA,0.429135412554283
2004,"120","md",2533,66,63,4,0,66,26,"deer",NA,NA,NA,NA
2004,"120","wt",2533,1020,667,338,28,992,372,"deer",NA,NA,NA,NA
2004,"121","all_deer",3094,1536,1140,385,38,1499,759,"deer",NA,NA,NA,0.496444731738849
2004,"121","md",3094,157,153,4,6,151,112,"deer",NA,NA,NA,NA
2004,"121","wt",3094,1367,983,373,32,1336,644,"deer",NA,NA,NA,NA
2004,"122","all_deer",2359,852,696,140,9,843,419,"deer",NA,NA,NA,0.361169987282747
2004,"122","md",2359,208,205,4,4,205,93,"deer",NA,NA,NA,NA
2004,"122","wt",2359,642,490,137,6,636,324,"deer",NA,NA,NA,NA
2004,"123","all_deer",743,250,197,54,5,246,116,"deer",NA,NA,NA,0.336473755047106
2004,"123","md",743,49,49,0,0,49,30,"deer",NA,NA,NA,NA
2004,"123","wt",743,200,147,54,5,195,86,"deer",NA,NA,NA,NA
2004,"124","all_deer",588,293,232,61,10,283,118,"deer",NA,NA,NA,0.498299319727891
2004,"124","md",588,42,38,4,1,41,18,"deer",NA,NA,NA,NA
2004,"124","wt",588,250,192,57,9,241,101,"deer",NA,NA,NA,NA
2004,"130","all_deer",2698,1098,764,316,27,1072,472,"deer",NA,NA,NA,0.406968124536694
2004,"130","md",2698,60,54,5,5,55,44,"deer",NA,NA,NA,NA
2004,"130","wt",2698,1025,702,304,21,1004,425,"deer",NA,NA,NA,NA
2004,"132","all_deer",1704,1047,629,410,46,1001,406,"deer",NA,NA,NA,0.61443661971831
2004,"132","md",1704,44,38,7,0,44,30,"deer",NA,NA,NA,NA
2004,"132","wt",1704,998,592,400,46,952,377,"deer",NA,NA,NA,NA
2004,"140","all_deer",837,243,204,39,4,240,158,"deer",NA,NA,NA,0.290322580645161
2004,"140","md",837,90,90,0,0,90,62,"deer",NA,NA,NA,NA
2004,"140","wt",837,154,115,39,4,150,95,"deer",NA,NA,NA,NA
2004,"141","all_deer",173,38,36,2,0,38,28,"deer",NA,NA,NA,0.219653179190751
2004,"141","md",173,26,26,0,0,26,24,"deer",NA,NA,NA,NA
2004,"141","wt",173,12,10,2,0,12,4,"deer",NA,NA,NA,NA
2004,"150","all_deer",270,69,65,4,0,69,44,"deer",NA,NA,NA,0.255555555555556
2004,"150","md",270,50,50,0,0,50,29,"deer",NA,NA,NA,NA
2004,"150","wt",270,19,15,4,0,19,15,"deer",NA,NA,NA,NA
2004,"151","all_deer",91,11,11,0,0,11,11,"deer",NA,NA,NA,0.120879120879121
2004,"151","md",91,11,11,0,0,11,11,"deer",NA,NA,NA,NA
2004,"170","all_deer",866,639,283,349,63,575,187,"deer",NA,NA,NA,0.737875288683603
2004,"170","md",866,17,14,3,0,17,4,"deer",NA,NA,NA,NA
2004,"170","wt",866,616,267,342,61,556,181,"deer",NA,NA,NA,NA
2004,"200","all_deer",855,305,212,89,25,280,110,"deer",NA,NA,NA,0.35672514619883
2004,"200","md",855,43,41,1,2,41,18,"deer",NA,NA,NA,NA
2004,"200","wt",855,259,167,88,23,235,87,"deer",NA,NA,NA,NA
2004,"201","all_deer",2116,878,582,290,77,801,353,"deer",NA,NA,NA,0.414933837429112
2004,"201","md",2116,131,128,3,4,127,69,"deer",NA,NA,NA,NA
2004,"201","wt",2116,745,454,286,73,672,284,"deer",NA,NA,NA,NA
2004,"202","all_deer",1837,689,474,206,15,675,316,"deer",NA,NA,NA,0.375068045726728
2004,"202","md",1837,117,109,8,0,117,86,"deer",NA,NA,NA,NA
2004,"202","wt",1837,573,365,199,15,558,229,"deer",NA,NA,NA,NA
2004,"203","all_deer",1481,455,388,64,21,434,242,"deer",NA,NA,NA,0.307224848075625
2004,"203","md",1481,122,118,0,4,118,74,"deer",NA,NA,NA,NA
2004,"203","wt",1481,333,269,64,17,316,168,"deer",NA,NA,NA,NA
2004,"204","all_deer",1745,552,426,124,32,520,219,"deer",NA,NA,NA,0.316332378223496
2004,"204","md",1745,146,143,4,5,141,69,"deer",NA,NA,NA,NA
2004,"204","wt",1745,399,276,121,27,372,146,"deer",NA,NA,NA,NA
