"","Year","District","Hunters","Days","N","four_plus","Sex","n_sex","Weapon","n_weapon"
"1",2015,"100",0,0,1016,525,"Bucks",949,"Bow",17
"2",2015,"100",0,0,1016,525,"Does",58,"Rifle",995
"3",2015,"100",0,0,115,46,"Bucks",115,"Bow",6
"4",2015,"100",0,0,115,46,"Does",0,"Rifle",109
"5",2015,"100",0,0,901,479,"Bucks",834,"Bow",12
"6",2015,"100",0,0,901,479,"Does",58,"Rifle",886
"7",2015,"101",0,0,1199,520,"Bucks",983,"Bow",12
"8",2015,"101",0,0,1199,520,"Does",202,"Rifle",1187
"9",2015,"101",0,0,57,23,"Bucks",55,"Bow",0
"10",2015,"101",0,0,57,23,"Does",3,"Rifle",57
"11",2015,"101",0,0,1142,497,"Bucks",928,"Bow",12
"12",2015,"101",0,0,1142,497,"Does",199,"Rifle",1130
"13",2015,"102",0,0,1050,491,"Bucks",851,"Bow",28
"14",2015,"102",0,0,1050,491,"Does",196,"Rifle",1022
"15",2015,"102",0,0,49,23,"Bucks",49,"Bow",0
"16",2015,"102",0,0,49,23,"Does",0,"Rifle",49
"17",2015,"102",0,0,1001,468,"Bucks",802,"Bow",28
"18",2015,"102",0,0,1001,468,"Does",196,"Rifle",973
"19",2015,"103",0,0,972,482,"Bucks",879,"Bow",17
"20",2015,"103",0,0,972,482,"Does",88,"Rifle",955
"21",2015,"103",0,0,115,49,"Bucks",115,"Bow",0
"22",2015,"103",0,0,115,49,"Does",0,"Rifle",115
"23",2015,"103",0,0,858,433,"Bucks",764,"Bow",17
"24",2015,"103",0,0,858,433,"Does",88,"Rifle",840
"25",2015,"104",0,0,555,295,"Bucks",512,"Bow",17
"26",2015,"104",0,0,555,295,"Does",43,"Rifle",538
"27",2015,"104",0,0,83,43,"Bucks",81,"Bow",0
"28",2015,"104",0,0,83,43,"Does",3,"Rifle",83
"29",2015,"104",0,0,472,252,"Bucks",432,"Bow",17
"30",2015,"104",0,0,472,252,"Does",40,"Rifle",455
"31",2015,"109",0,0,306,121,"Bucks",210,"Bow",2
"32",2015,"109",0,0,306,121,"Does",93,"Rifle",304
"33",2015,"109",0,0,39,9,"Bucks",37,"Bow",0
"34",2015,"109",0,0,39,9,"Does",2,"Rifle",39
"35",2015,"109",0,0,267,113,"Bucks",173,"Bow",2
"36",2015,"109",0,0,267,113,"Does",91,"Rifle",265
"37",2015,"110",0,0,431,217,"Bucks",378,"Bow",17
"38",2015,"110",0,0,431,217,"Does",53,"Rifle",408
"39",2015,"110",0,0,26,14,"Bucks",26,"Bow",0
"40",2015,"110",0,0,26,14,"Does",0,"Rifle",26
"41",2015,"110",0,0,405,203,"Bucks",352,"Bow",17
"42",2015,"110",0,0,405,203,"Does",53,"Rifle",382
"43",2015,"120",0,0,851,362,"Bucks",639,"Bow",31
"44",2015,"120",0,0,851,362,"Does",191,"Rifle",820
"45",2015,"120",0,0,42,12,"Bucks",37,"Bow",0
"46",2015,"120",0,0,42,12,"Does",5,"Rifle",42
"47",2015,"120",0,0,809,351,"Bucks",602,"Bow",31
"48",2015,"120",0,0,809,351,"Does",187,"Rifle",778
"49",2015,"121",0,0,1274,597,"Bucks",1033,"Bow",35
"50",2015,"121",0,0,1274,597,"Does",236,"Rifle",1236
"51",2015,"121",0,0,98,46,"Bucks",92,"Bow",0
"52",2015,"121",0,0,98,46,"Does",6,"Rifle",98
"53",2015,"121",0,0,1176,551,"Bucks",941,"Bow",35
"54",2015,"121",0,0,1176,551,"Does",230,"Rifle",1139
"55",2015,"122",0,0,998,395,"Bucks",714,"Bow",31
"56",2015,"122",0,0,998,395,"Does",273,"Rifle",968
"57",2015,"122",0,0,172,60,"Bucks",169,"Bow",12
"58",2015,"122",0,0,172,60,"Does",3,"Rifle",161
"59",2015,"122",0,0,826,335,"Bucks",545,"Bow",19
"60",2015,"122",0,0,826,335,"Does",270,"Rifle",807
"61",2015,"123",0,0,241,126,"Bucks",224,"Bow",3
"62",2015,"123",0,0,241,126,"Does",17,"Rifle",238
"63",2015,"123",0,0,20,6,"Bucks",20,"Bow",0
"64",2015,"123",0,0,20,6,"Does",0,"Rifle",20
"65",2015,"123",0,0,221,120,"Bucks",204,"Bow",3
"66",2015,"123",0,0,221,120,"Does",17,"Rifle",218
"67",2015,"124",0,0,229,96,"Bucks",151,"Bow",5
"68",2015,"124",0,0,229,96,"Does",77,"Rifle",222
"69",2015,"124",0,0,29,17,"Bucks",29,"Bow",0
"70",2015,"124",0,0,29,17,"Does",0,"Rifle",29
"71",2015,"124",0,0,201,79,"Bucks",122,"Bow",5
"72",2015,"124",0,0,201,79,"Does",77,"Rifle",193
"73",2015,"130",0,0,622,327,"Bucks",541,"Bow",3
"74",2015,"130",0,0,622,327,"Does",78,"Rifle",619
"75",2015,"130",0,0,24,16,"Bucks",24,"Bow",0
"76",2015,"130",0,0,24,16,"Does",0,"Rifle",24
"77",2015,"130",0,0,597,311,"Bucks",517,"Bow",3
"78",2015,"130",0,0,597,311,"Does",78,"Rifle",594
"79",2015,"132",0,0,389,190,"Bucks",293,"Bow",20
"80",2015,"132",0,0,389,190,"Does",90,"Rifle",368
"81",2015,"132",0,0,14,14,"Bucks",14,"Bow",0
"82",2015,"132",0,0,14,14,"Does",0,"Rifle",14
"83",2015,"132",0,0,374,175,"Bucks",279,"Bow",20
"84",2015,"132",0,0,374,175,"Does",90,"Rifle",354
"85",2015,"140",0,0,152,92,"Bucks",141,"Bow",3
"86",2015,"140",0,0,152,92,"Does",12,"Rifle",150
"87",2015,"140",0,0,23,17,"Bucks",23,"Bow",0
"88",2015,"140",0,0,23,17,"Does",0,"Rifle",23
"89",2015,"140",0,0,129,75,"Bucks",118,"Bow",3
"90",2015,"140",0,0,129,75,"Does",12,"Rifle",127
"91",2015,"141",0,0,12,6,"Bucks",9,"Bow",0
"92",2015,"141",0,0,12,6,"Does",0,"Rifle",12
"93",2015,"141",0,0,6,3,"Bucks",3,"Bow",0
"94",2015,"141",0,0,6,3,"Does",0,"Rifle",6
"95",2015,"141",0,0,6,3,"Bucks",6,"Bow",0
"96",2015,"141",0,0,6,3,"Does",0,"Rifle",6
"97",2015,"150",0,0,26,14,"Bucks",26,"Bow",0
"98",2015,"150",0,0,26,14,"Does",0,"Rifle",26
"99",2015,"150",0,0,20,11,"Bucks",20,"Bow",0
"100",2015,"150",0,0,20,11,"Does",0,"Rifle",20
"101",2015,"150",0,0,6,3,"Bucks",6,"Bow",0
"102",2015,"150",0,0,6,3,"Does",0,"Rifle",6
"103",2015,"151",0,0,6,6,"Bucks",6,"Bow",0
"104",2015,"151",0,0,6,6,"Does",0,"Rifle",6
"105",2015,"151",0,0,3,3,"Bucks",3,"Bow",0
"106",2015,"151",0,0,3,3,"Does",0,"Rifle",3
"107",2015,"151",0,0,3,3,"Bucks",3,"Bow",0
"108",2015,"151",0,0,3,3,"Does",0,"Rifle",3
"109",2015,"170",0,0,1604,344,"Bucks",568,"Bow",198
"110",2015,"170",0,0,1604,344,"Does",995,"Rifle",1405
"111",2015,"170",0,0,26,3,"Bucks",12,"Bow",3
"112",2015,"170",0,0,26,3,"Does",12,"Rifle",23
"113",2015,"170",0,0,1578,341,"Bucks",557,"Bow",195
"114",2015,"170",0,0,1578,341,"Does",983,"Rifle",1382
"115",2015,"200",0,0,164,80,"Bucks",141,"Bow",0
"116",2015,"200",0,0,164,80,"Does",20,"Rifle",164
"117",2015,"200",0,0,12,9,"Bucks",12,"Bow",0
"118",2015,"200",0,0,12,9,"Does",0,"Rifle",12
"119",2015,"200",0,0,152,72,"Bucks",129,"Bow",0
"120",2015,"200",0,0,152,72,"Does",20,"Rifle",152
"121",2015,"201",0,0,512,223,"Bucks",431,"Bow",6
"122",2015,"201",0,0,512,223,"Does",80,"Rifle",506
"123",2015,"201",0,0,79,33,"Bucks",79,"Bow",3
"124",2015,"201",0,0,79,33,"Does",0,"Rifle",76
"125",2015,"201",0,0,433,190,"Bucks",352,"Bow",3
"126",2015,"201",0,0,433,190,"Does",80,"Rifle",430
"127",2015,"202",0,0,428,240,"Bucks",383,"Bow",0
"128",2015,"202",0,0,428,240,"Does",45,"Rifle",425
"129",2015,"202",0,0,81,50,"Bucks",81,"Bow",0
"130",2015,"202",0,0,81,50,"Does",0,"Rifle",81
"131",2015,"202",0,0,347,190,"Bucks",302,"Bow",0
"132",2015,"202",0,0,347,190,"Does",45,"Rifle",344
"133",2015,"203",0,0,361,195,"Bucks",333,"Bow",9
"134",2015,"203",0,0,361,195,"Does",28,"Rifle",349
"135",2015,"203",0,0,121,63,"Bucks",121,"Bow",0
"136",2015,"203",0,0,121,63,"Does",0,"Rifle",121
"137",2015,"203",0,0,240,132,"Bucks",213,"Bow",9
"138",2015,"203",0,0,240,132,"Does",28,"Rifle",229
"139",2015,"204",0,0,493,223,"Bucks",369,"Bow",62
"140",2015,"204",0,0,493,223,"Does",115,"Rifle",428
"141",2015,"204",0,0,166,81,"Bucks",138,"Bow",10
"142",2015,"204",0,0,166,81,"Does",28,"Rifle",153
"143",2015,"204",0,0,326,142,"Bucks",231,"Bow",51
"144",2015,"204",0,0,326,142,"Does",87,"Rifle",275
"145",2015,"210",0,0,210,114,"Bucks",178,"Bow",0
"146",2015,"210",0,0,210,114,"Does",29,"Rifle",210
"147",2015,"210",0,0,44,22,"Bucks",44,"Bow",0
"148",2015,"210",0,0,44,22,"Does",0,"Rifle",44
"149",2015,"210",0,0,166,91,"Bucks",134,"Bow",0
"150",2015,"210",0,0,166,91,"Does",29,"Rifle",166
"151",2015,"211",0,0,71,25,"Bucks",62,"Bow",3
"152",2015,"211",0,0,71,25,"Does",9,"Rifle",68
"153",2015,"211",0,0,19,8,"Bucks",19,"Bow",3
"154",2015,"211",0,0,19,8,"Does",0,"Rifle",16
"155",2015,"211",0,0,52,17,"Bucks",43,"Bow",0
"156",2015,"211",0,0,52,17,"Does",9,"Rifle",52
"157",2015,"212",0,0,608,195,"Bucks",432,"Bow",54
"158",2015,"212",0,0,608,195,"Does",167,"Rifle",548
"159",2015,"212",0,0,265,81,"Bucks",211,"Bow",10
"160",2015,"212",0,0,265,81,"Does",49,"Rifle",252
"161",2015,"212",0,0,340,114,"Bucks",221,"Bow",44
"162",2015,"212",0,0,340,114,"Does",118,"Rifle",296
"163",2015,"213",0,0,216,92,"Bucks",171,"Bow",13
"164",2015,"213",0,0,216,92,"Does",43,"Rifle",203
"165",2015,"213",0,0,121,43,"Bucks",98,"Bow",12
"166",2015,"213",0,0,121,43,"Does",22,"Rifle",109
"167",2015,"213",0,0,96,49,"Bucks",72,"Bow",2
"168",2015,"213",0,0,96,49,"Does",21,"Rifle",94
"169",2015,"214",0,0,123,59,"Bucks",114,"Bow",10
"170",2015,"214",0,0,123,59,"Does",9,"Rifle",110
"171",2015,"214",0,0,54,21,"Bucks",54,"Bow",10
"172",2015,"214",0,0,54,21,"Does",0,"Rifle",44
"173",2015,"214",0,0,69,38,"Bucks",60,"Bow",0
"174",2015,"214",0,0,69,38,"Does",9,"Rifle",66
"175",2015,"215",0,0,393,153,"Bucks",301,"Bow",27
"176",2015,"215",0,0,393,153,"Does",83,"Rifle",366
"177",2015,"215",0,0,164,47,"Bucks",138,"Bow",21
"178",2015,"215",0,0,164,47,"Does",27,"Rifle",143
"179",2015,"215",0,0,228,106,"Bucks",163,"Bow",6
"180",2015,"215",0,0,228,106,"Does",56,"Rifle",223
"181",2015,"216",0,0,167,81,"Bucks",152,"Bow",3
"182",2015,"216",0,0,167,81,"Does",12,"Rifle",164
"183",2015,"216",0,0,89,43,"Bucks",86,"Bow",0
"184",2015,"216",0,0,89,43,"Does",0,"Rifle",89
"185",2015,"216",0,0,78,37,"Bucks",66,"Bow",3
"186",2015,"216",0,0,78,37,"Does",12,"Rifle",75
"187",2015,"240",0,0,684,268,"Bucks",550,"Bow",71
"188",2015,"240",0,0,684,268,"Does",128,"Rifle",613
"189",2015,"240",0,0,106,35,"Bucks",106,"Bow",3
"190",2015,"240",0,0,106,35,"Does",0,"Rifle",104
"191",2015,"240",0,0,577,234,"Bucks",443,"Bow",68
"192",2015,"240",0,0,577,234,"Does",128,"Rifle",509
"193",2015,"250",0,0,88,35,"Bucks",67,"Bow",2
"194",2015,"250",0,0,88,35,"Does",19,"Rifle",87
"195",2015,"250",0,0,21,21,"Bucks",21,"Bow",2
"196",2015,"250",0,0,21,21,"Does",0,"Rifle",19
"197",2015,"250",0,0,68,14,"Bucks",46,"Bow",0
"198",2015,"250",0,0,68,14,"Does",19,"Rifle",68
"199",2015,"260",0,0,709,140,"Bucks",201,"Bow",541
"200",2015,"260",0,0,709,140,"Does",502,"Rifle",169
"201",2015,"260",0,0,12,5,"Bucks",8,"Bow",5
"202",2015,"260",0,0,12,5,"Does",4,"Rifle",7
"203",2015,"260",0,0,698,135,"Bucks",193,"Bow",535
"204",2015,"260",0,0,698,135,"Does",499,"Rifle",162
"205",2015,"261",0,0,146,77,"Bucks",108,"Bow",25
"206",2015,"261",0,0,146,77,"Does",38,"Rifle",121
"207",2015,"261",0,0,13,12,"Bucks",12,"Bow",3
"208",2015,"261",0,0,13,12,"Does",1,"Rifle",10
"209",2015,"261",0,0,133,65,"Bucks",97,"Bow",22
"210",2015,"261",0,0,133,65,"Does",36,"Rifle",111
"211",2015,"262",0,0,371,80,"Bucks",132,"Bow",73
"212",2015,"262",0,0,371,80,"Does",237,"Rifle",296
"213",2015,"262",0,0,62,3,"Bucks",6,"Bow",2
"214",2015,"262",0,0,62,3,"Does",56,"Rifle",60
