"","Year","District","Hunters","Days","N","six_plus","Sex","n_sex","Weapon","n_weapon"
"1",2010,"100",2073,17695,113,22,"Bulls",58,"Bow",8
"2",2010,"100",2073,17695,113,22,"Cows",50,"Rifle",104
"3",2010,"101",1498,13948,112,17,"Bulls",67,"Bow",3
"4",2010,"101",1498,13948,112,17,"Cows",40,"Rifle",109
"5",2010,"102",1384,9938,42,14,"Bulls",28,"Bow",3
"6",2010,"102",1384,9938,42,14,"Cows",14,"Rifle",39
"7",2010,"103",2051,16654,119,28,"Bulls",61,"Bow",14
"8",2010,"103",2051,16654,119,28,"Cows",55,"Rifle",105
"9",2010,"104",1290,11736,108,28,"Bulls",69,"Bow",11
"10",2010,"104",1290,11736,108,28,"Cows",36,"Rifle",97
"11",2010,"109",349,2449,38,6,"Bulls",19,"Bow",10
"12",2010,"109",349,2449,38,6,"Cows",16,"Rifle",29
"13",2010,"110",1161,7866,84,22,"Bulls",64,"Bow",11
"14",2010,"110",1161,7866,84,22,"Cows",16,"Rifle",73
"15",2010,"120",1143,8409,50,11,"Bulls",25,"Bow",6
"16",2010,"120",1143,8409,50,11,"Cows",22,"Rifle",45
"17",2010,"121",2822,25806,476,141,"Bulls",313,"Bow",53
"18",2010,"121",2822,25806,476,141,"Cows",150,"Rifle",423
"19",2010,"122",1305,10566,79,19,"Bulls",44,"Bow",0
"20",2010,"122",1305,10566,79,19,"Cows",32,"Rifle",79
"21",2010,"123",683,5704,87,33,"Bulls",64,"Bow",12
"22",2010,"123",683,5704,87,33,"Cows",19,"Rifle",74
"23",2010,"124",466,4461,39,17,"Bulls",22,"Bow",3
"24",2010,"124",466,4461,39,17,"Cows",14,"Rifle",36
"25",2010,"130",1282,8881,67,8,"Bulls",47,"Bow",0
"26",2010,"130",1282,8881,67,8,"Cows",20,"Rifle",67
"27",2010,"132",522,3306,42,8,"Bulls",19,"Bow",7
"28",2010,"132",522,3306,42,8,"Cows",21,"Rifle",35
"29",2010,"140",852,5508,121,66,"Bulls",105,"Bow",25
"30",2010,"140",852,5508,121,66,"Cows",16,"Rifle",96
"31",2010,"141",274,1957,36,14,"Bulls",25,"Bow",11
"32",2010,"141",274,1957,36,14,"Cows",11,"Rifle",25
"33",2010,"150",434,2829,78,50,"Bulls",78,"Bow",0
"34",2010,"150",434,2829,78,50,"Cows",0,"Rifle",78
"35",2010,"151",144,1030,28,22,"Bulls",28,"Bow",3
"36",2010,"151",144,1030,28,22,"Cows",0,"Rifle",25
"37",2010,"170",340,2522,8,3,"Bulls",3,"Bow",6
"38",2010,"170",340,2522,8,3,"Cows",3,"Rifle",3
"39",2010,"200",651,5487,57,20,"Bulls",50,"Bow",8
"40",2010,"200",651,5487,57,20,"Cows",4,"Rifle",48
"41",2010,"201",1350,10831,105,36,"Bulls",75,"Bow",8
"42",2010,"201",1350,10831,105,36,"Cows",30,"Rifle",97
"43",2010,"202",1028,8695,67,22,"Bulls",44,"Bow",3
"44",2010,"202",1028,8695,67,22,"Cows",22,"Rifle",64
"45",2010,"203",1053,6569,43,11,"Bulls",28,"Bow",0
"46",2010,"203",1053,6569,43,11,"Cows",15,"Rifle",43
"47",2010,"204",1093,6753,88,31,"Bulls",64,"Bow",11
"48",2010,"204",1093,6753,88,31,"Cows",22,"Rifle",77
"49",2010,"210",1306,8797,261,49,"Bulls",135,"Bow",29
"50",2010,"210",1306,8797,261,49,"Cows",109,"Rifle",232
"51",2010,"211",362,2489,84,17,"Bulls",36,"Bow",10
"52",2010,"211",362,2489,84,17,"Cows",48,"Rifle",74
"53",2010,"212",1830,12587,379,66,"Bulls",193,"Bow",41
"54",2010,"212",1830,12587,379,66,"Cows",166,"Rifle",338
"55",2010,"213",717,5708,225,14,"Bulls",83,"Bow",13
"56",2010,"213",717,5708,225,14,"Cows",136,"Rifle",211
"57",2010,"214",555,3758,58,16,"Bulls",29,"Bow",8
"58",2010,"214",555,3758,58,16,"Cows",26,"Rifle",50
"59",2010,"215",2260,17859,533,83,"Bulls",310,"Bow",27
"60",2010,"215",2260,17859,533,83,"Cows",208,"Rifle",506
"61",2010,"216",416,2737,59,8,"Bulls",31,"Bow",8
"62",2010,"216",416,2737,59,8,"Cows",28,"Rifle",50
"63",2010,"240",1290,8085,114,19,"Bulls",78,"Bow",17
"64",2010,"240",1290,8085,114,19,"Cows",31,"Rifle",97
"65",2010,"250",721,5186,67,17,"Bulls",56,"Bow",24
"66",2010,"250",721,5186,67,17,"Cows",9,"Rifle",43
"67",2010,"260",278,2196,38,6,"Bulls",11,"Bow",16
"68",2010,"260",278,2196,38,6,"Cows",24,"Rifle",22
"69",2010,"261",674,4814,79,17,"Bulls",58,"Bow",8
"70",2010,"261",674,4814,79,17,"Cows",17,"Rifle",70
"71",2010,"270",2629,17615,372,117,"Bulls",275,"Bow",22
"72",2010,"270",2629,17615,372,117,"Cows",92,"Rifle",350
"73",2010,"280",322,1823,63,25,"Bulls",53,"Bow",3
"74",2010,"280",322,1823,63,25,"Cows",10,"Rifle",60
"75",2010,"281",1431,12131,183,50,"Bulls",127,"Bow",17
"76",2010,"281",1431,12131,183,50,"Cows",56,"Rifle",167
"77",2010,"282",208,1353,35,6,"Bulls",14,"Bow",4
"78",2010,"282",208,1353,35,6,"Cows",21,"Rifle",31
"79",2010,"283",1407,9125,134,19,"Bulls",62,"Bow",14
"80",2010,"283",1407,9125,134,19,"Cows",71,"Rifle",119
"81",2010,"284",138,817,3,0,"Bulls",3,"Bow",3
"82",2010,"284",138,817,3,0,"Cows",0,"Rifle",0
"83",2010,"285",1715,15239,175,36,"Bulls",92,"Bow",14
