"Year","District","Species","Hunters","Days","N","four_plus","Sex","n_sex","Weapon","n_weapon","ung","six_plus"
2015,"100","all_deer",0,0,1016,525,"Bucks",949,"Bow",17,"deer",NA
2015,"100","all_deer",0,0,1016,525,"Does",58,"Rifle",995,"deer",NA
2015,"100","md",0,0,115,46,"Bucks",115,"Bow",6,"deer",NA
2015,"100","md",0,0,115,46,"Does",0,"Rifle",109,"deer",NA
2015,"100","wt",0,0,901,479,"Bucks",834,"Bow",12,"deer",NA
2015,"100","wt",0,0,901,479,"Does",58,"Rifle",886,"deer",NA
2015,"101","all_deer",0,0,1199,520,"Bucks",983,"Bow",12,"deer",NA
2015,"101","all_deer",0,0,1199,520,"Does",202,"Rifle",1187,"deer",NA
2015,"101","md",0,0,57,23,"Bucks",55,"Bow",0,"deer",NA
2015,"101","md",0,0,57,23,"Does",3,"Rifle",57,"deer",NA
2015,"101","wt",0,0,1142,497,"Bucks",928,"Bow",12,"deer",NA
2015,"101","wt",0,0,1142,497,"Does",199,"Rifle",1130,"deer",NA
2015,"102","all_deer",0,0,1050,491,"Bucks",851,"Bow",28,"deer",NA
2015,"102","all_deer",0,0,1050,491,"Does",196,"Rifle",1022,"deer",NA
2015,"102","md",0,0,49,23,"Bucks",49,"Bow",0,"deer",NA
2015,"102","md",0,0,49,23,"Does",0,"Rifle",49,"deer",NA
2015,"102","wt",0,0,1001,468,"Bucks",802,"Bow",28,"deer",NA
2015,"102","wt",0,0,1001,468,"Does",196,"Rifle",973,"deer",NA
2015,"103","all_deer",0,0,972,482,"Bucks",879,"Bow",17,"deer",NA
2015,"103","all_deer",0,0,972,482,"Does",88,"Rifle",955,"deer",NA
2015,"103","md",0,0,115,49,"Bucks",115,"Bow",0,"deer",NA
2015,"103","md",0,0,115,49,"Does",0,"Rifle",115,"deer",NA
2015,"103","wt",0,0,858,433,"Bucks",764,"Bow",17,"deer",NA
2015,"103","wt",0,0,858,433,"Does",88,"Rifle",840,"deer",NA
2015,"104","all_deer",0,0,555,295,"Bucks",512,"Bow",17,"deer",NA
2015,"104","all_deer",0,0,555,295,"Does",43,"Rifle",538,"deer",NA
2015,"104","md",0,0,83,43,"Bucks",81,"Bow",0,"deer",NA
2015,"104","md",0,0,83,43,"Does",3,"Rifle",83,"deer",NA
2015,"104","wt",0,0,472,252,"Bucks",432,"Bow",17,"deer",NA
2015,"104","wt",0,0,472,252,"Does",40,"Rifle",455,"deer",NA
2015,"109","all_deer",0,0,306,121,"Bucks",210,"Bow",2,"deer",NA
2015,"109","all_deer",0,0,306,121,"Does",93,"Rifle",304,"deer",NA
2015,"109","md",0,0,39,9,"Bucks",37,"Bow",0,"deer",NA
2015,"109","md",0,0,39,9,"Does",2,"Rifle",39,"deer",NA
2015,"109","wt",0,0,267,113,"Bucks",173,"Bow",2,"deer",NA
2015,"109","wt",0,0,267,113,"Does",91,"Rifle",265,"deer",NA
2015,"110","all_deer",0,0,431,217,"Bucks",378,"Bow",17,"deer",NA
2015,"110","all_deer",0,0,431,217,"Does",53,"Rifle",408,"deer",NA
2015,"110","md",0,0,26,14,"Bucks",26,"Bow",0,"deer",NA
2015,"110","md",0,0,26,14,"Does",0,"Rifle",26,"deer",NA
2015,"110","wt",0,0,405,203,"Bucks",352,"Bow",17,"deer",NA
2015,"110","wt",0,0,405,203,"Does",53,"Rifle",382,"deer",NA
2015,"120","all_deer",0,0,851,362,"Bucks",639,"Bow",31,"deer",NA
2015,"120","all_deer",0,0,851,362,"Does",191,"Rifle",820,"deer",NA
2015,"120","md",0,0,42,12,"Bucks",37,"Bow",0,"deer",NA
2015,"120","md",0,0,42,12,"Does",5,"Rifle",42,"deer",NA
2015,"120","wt",0,0,809,351,"Bucks",602,"Bow",31,"deer",NA
2015,"120","wt",0,0,809,351,"Does",187,"Rifle",778,"deer",NA
2015,"121","all_deer",0,0,1274,597,"Bucks",1033,"Bow",35,"deer",NA
2015,"121","all_deer",0,0,1274,597,"Does",236,"Rifle",1236,"deer",NA
2015,"121","md",0,0,98,46,"Bucks",92,"Bow",0,"deer",NA
2015,"121","md",0,0,98,46,"Does",6,"Rifle",98,"deer",NA
2015,"121","wt",0,0,1176,551,"Bucks",941,"Bow",35,"deer",NA
2015,"121","wt",0,0,1176,551,"Does",230,"Rifle",1139,"deer",NA
2015,"122","all_deer",0,0,998,395,"Bucks",714,"Bow",31,"deer",NA
2015,"122","all_deer",0,0,998,395,"Does",273,"Rifle",968,"deer",NA
2015,"122","md",0,0,172,60,"Bucks",169,"Bow",12,"deer",NA
2015,"122","md",0,0,172,60,"Does",3,"Rifle",161,"deer",NA
2015,"122","wt",0,0,826,335,"Bucks",545,"Bow",19,"deer",NA
2015,"122","wt",0,0,826,335,"Does",270,"Rifle",807,"deer",NA
2015,"123","all_deer",0,0,241,126,"Bucks",224,"Bow",3,"deer",NA
2015,"123","all_deer",0,0,241,126,"Does",17,"Rifle",238,"deer",NA
2015,"123","md",0,0,20,6,"Bucks",20,"Bow",0,"deer",NA
2015,"123","md",0,0,20,6,"Does",0,"Rifle",20,"deer",NA
2015,"123","wt",0,0,221,120,"Bucks",204,"Bow",3,"deer",NA
2015,"123","wt",0,0,221,120,"Does",17,"Rifle",218,"deer",NA
2015,"124","all_deer",0,0,229,96,"Bucks",151,"Bow",5,"deer",NA
2015,"124","all_deer",0,0,229,96,"Does",77,"Rifle",222,"deer",NA
2015,"124","md",0,0,29,17,"Bucks",29,"Bow",0,"deer",NA
2015,"124","md",0,0,29,17,"Does",0,"Rifle",29,"deer",NA
2015,"124","wt",0,0,201,79,"Bucks",122,"Bow",5,"deer",NA
2015,"124","wt",0,0,201,79,"Does",77,"Rifle",193,"deer",NA
2015,"130","all_deer",0,0,622,327,"Bucks",541,"Bow",3,"deer",NA
2015,"130","all_deer",0,0,622,327,"Does",78,"Rifle",619,"deer",NA
2015,"130","md",0,0,24,16,"Bucks",24,"Bow",0,"deer",NA
2015,"130","md",0,0,24,16,"Does",0,"Rifle",24,"deer",NA
2015,"130","wt",0,0,597,311,"Bucks",517,"Bow",3,"deer",NA
2015,"130","wt",0,0,597,311,"Does",78,"Rifle",594,"deer",NA
2015,"132","all_deer",0,0,389,190,"Bucks",293,"Bow",20,"deer",NA
2015,"132","all_deer",0,0,389,190,"Does",90,"Rifle",368,"deer",NA
2015,"132","md",0,0,14,14,"Bucks",14,"Bow",0,"deer",NA
2015,"132","md",0,0,14,14,"Does",0,"Rifle",14,"deer",NA
2015,"132","wt",0,0,374,175,"Bucks",279,"Bow",20,"deer",NA
2015,"132","wt",0,0,374,175,"Does",90,"Rifle",354,"deer",NA
2015,"140","all_deer",0,0,152,92,"Bucks",141,"Bow",3,"deer",NA
2015,"140","all_deer",0,0,152,92,"Does",12,"Rifle",150,"deer",NA
2015,"140","md",0,0,23,17,"Bucks",23,"Bow",0,"deer",NA
2015,"140","md",0,0,23,17,"Does",0,"Rifle",23,"deer",NA
2015,"140","wt",0,0,129,75,"Bucks",118,"Bow",3,"deer",NA
2015,"140","wt",0,0,129,75,"Does",12,"Rifle",127,"deer",NA
2015,"141","all_deer",0,0,12,6,"Bucks",9,"Bow",0,"deer",NA
2015,"141","all_deer",0,0,12,6,"Does",0,"Rifle",12,"deer",NA
2015,"141","md",0,0,6,3,"Bucks",3,"Bow",0,"deer",NA
2015,"141","md",0,0,6,3,"Does",0,"Rifle",6,"deer",NA
2015,"141","wt",0,0,6,3,"Bucks",6,"Bow",0,"deer",NA
2015,"141","wt",0,0,6,3,"Does",0,"Rifle",6,"deer",NA
2015,"150","all_deer",0,0,26,14,"Bucks",26,"Bow",0,"deer",NA
2015,"150","all_deer",0,0,26,14,"Does",0,"Rifle",26,"deer",NA
2015,"150","md",0,0,20,11,"Bucks",20,"Bow",0,"deer",NA
2015,"150","md",0,0,20,11,"Does",0,"Rifle",20,"deer",NA
2015,"150","wt",0,0,6,3,"Bucks",6,"Bow",0,"deer",NA
2015,"150","wt",0,0,6,3,"Does",0,"Rifle",6,"deer",NA
2015,"151","all_deer",0,0,6,6,"Bucks",6,"Bow",0,"deer",NA
2015,"151","all_deer",0,0,6,6,"Does",0,"Rifle",6,"deer",NA
2015,"151","md",0,0,3,3,"Bucks",3,"Bow",0,"deer",NA
2015,"151","md",0,0,3,3,"Does",0,"Rifle",3,"deer",NA
2015,"151","wt",0,0,3,3,"Bucks",3,"Bow",0,"deer",NA
2015,"151","wt",0,0,3,3,"Does",0,"Rifle",3,"deer",NA
2015,"170","all_deer",0,0,1604,344,"Bucks",568,"Bow",198,"deer",NA
2015,"170","all_deer",0,0,1604,344,"Does",995,"Rifle",1405,"deer",NA
2015,"170","md",0,0,26,3,"Bucks",12,"Bow",3,"deer",NA
2015,"170","md",0,0,26,3,"Does",12,"Rifle",23,"deer",NA
2015,"170","wt",0,0,1578,341,"Bucks",557,"Bow",195,"deer",NA
2015,"170","wt",0,0,1578,341,"Does",983,"Rifle",1382,"deer",NA
2015,"200","all_deer",0,0,164,80,"Bucks",141,"Bow",0,"deer",NA
2015,"200","all_deer",0,0,164,80,"Does",20,"Rifle",164,"deer",NA
2015,"200","md",0,0,12,9,"Bucks",12,"Bow",0,"deer",NA
2015,"200","md",0,0,12,9,"Does",0,"Rifle",12,"deer",NA
2015,"200","wt",0,0,152,72,"Bucks",129,"Bow",0,"deer",NA
2015,"200","wt",0,0,152,72,"Does",20,"Rifle",152,"deer",NA
2015,"201","all_deer",0,0,512,223,"Bucks",431,"Bow",6,"deer",NA
2015,"201","all_deer",0,0,512,223,"Does",80,"Rifle",506,"deer",NA
2015,"201","md",0,0,79,33,"Bucks",79,"Bow",3,"deer",NA
2015,"201","md",0,0,79,33,"Does",0,"Rifle",76,"deer",NA
2015,"201","wt",0,0,433,190,"Bucks",352,"Bow",3,"deer",NA
2015,"201","wt",0,0,433,190,"Does",80,"Rifle",430,"deer",NA
2015,"202","all_deer",0,0,428,240,"Bucks",383,"Bow",0,"deer",NA
2015,"202","all_deer",0,0,428,240,"Does",45,"Rifle",425,"deer",NA
2015,"202","md",0,0,81,50,"Bucks",81,"Bow",0,"deer",NA
2015,"202","md",0,0,81,50,"Does",0,"Rifle",81,"deer",NA
2015,"202","wt",0,0,347,190,"Bucks",302,"Bow",0,"deer",NA
2015,"202","wt",0,0,347,190,"Does",45,"Rifle",344,"deer",NA
2015,"203","all_deer",0,0,361,195,"Bucks",333,"Bow",9,"deer",NA
2015,"203","all_deer",0,0,361,195,"Does",28,"Rifle",349,"deer",NA
2015,"203","md",0,0,121,63,"Bucks",121,"Bow",0,"deer",NA
2015,"203","md",0,0,121,63,"Does",0,"Rifle",121,"deer",NA
2015,"203","wt",0,0,240,132,"Bucks",213,"Bow",9,"deer",NA
2015,"203","wt",0,0,240,132,"Does",28,"Rifle",229,"deer",NA
2015,"204","all_deer",0,0,493,223,"Bucks",369,"Bow",62,"deer",NA
2015,"204","all_deer",0,0,493,223,"Does",115,"Rifle",428,"deer",NA
2015,"204","md",0,0,166,81,"Bucks",138,"Bow",10,"deer",NA
2015,"204","md",0,0,166,81,"Does",28,"Rifle",153,"deer",NA
2015,"204","wt",0,0,326,142,"Bucks",231,"Bow",51,"deer",NA
2015,"204","wt",0,0,326,142,"Does",87,"Rifle",275,"deer",NA
2015,"210","all_deer",0,0,210,114,"Bucks",178,"Bow",0,"deer",NA
2015,"210","all_deer",0,0,210,114,"Does",29,"Rifle",210,"deer",NA
2015,"210","md",0,0,44,22,"Bucks",44,"Bow",0,"deer",NA
2015,"210","md",0,0,44,22,"Does",0,"Rifle",44,"deer",NA
2015,"210","wt",0,0,166,91,"Bucks",134,"Bow",0,"deer",NA
2015,"210","wt",0,0,166,91,"Does",29,"Rifle",166,"deer",NA
2015,"211","all_deer",0,0,71,25,"Bucks",62,"Bow",3,"deer",NA
2015,"211","all_deer",0,0,71,25,"Does",9,"Rifle",68,"deer",NA
2015,"211","md",0,0,19,8,"Bucks",19,"Bow",3,"deer",NA
2015,"211","md",0,0,19,8,"Does",0,"Rifle",16,"deer",NA
2015,"211","wt",0,0,52,17,"Bucks",43,"Bow",0,"deer",NA
2015,"211","wt",0,0,52,17,"Does",9,"Rifle",52,"deer",NA
2015,"212","all_deer",0,0,608,195,"Bucks",432,"Bow",54,"deer",NA
2015,"212","all_deer",0,0,608,195,"Does",167,"Rifle",548,"deer",NA
2015,"212","md",0,0,265,81,"Bucks",211,"Bow",10,"deer",NA
2015,"212","md",0,0,265,81,"Does",49,"Rifle",252,"deer",NA
2015,"212","wt",0,0,340,114,"Bucks",221,"Bow",44,"deer",NA
2015,"212","wt",0,0,340,114,"Does",118,"Rifle",296,"deer",NA
2015,"213","all_deer",0,0,216,92,"Bucks",171,"Bow",13,"deer",NA
2015,"213","all_deer",0,0,216,92,"Does",43,"Rifle",203,"deer",NA
