"license_year","hunting_district","deer_species","hunters","total_harvest","bucks","does","bow","rifle","x4_or_more_points","success_rate_per_hunter"
2004,"100","all_deer",3496,1695,1173,508,22,1673,646,0.484839816933638
2004,"100","md",3496,222,222,0,2,221,103,NA
2004,"100","wt",3496,1464,947,506,21,1444,543,NA
2004,"101","all_deer",3007,1391,982,395,21,1370,567,0.462587296308613
2004,"101","md",3007,204,203,2,0,204,107,NA
2004,"101","wt",3007,1177,777,386,17,1160,459,NA
2004,"102","all_deer",3826,1697,1195,495,27,1670,742,0.443544171458442
2004,"102","md",3826,100,92,8,0,100,42,NA
2004,"102","wt",3826,1596,1103,485,27,1568,700,NA
2004,"103","all_deer",3950,1645,1227,402,11,1633,668,0.416455696202532
2004,"103","md",3950,418,402,16,0,418,207,NA
2004,"103","wt",3950,1227,825,387,11,1216,461,NA
2004,"104","all_deer",2256,919,648,264,12,907,393,0.407358156028369
2004,"104","md",2256,150,148,2,0,150,93,NA
2004,"104","wt",2256,764,496,262,12,752,296,NA
2004,"109","all_deer",616,300,213,85,0,300,140,0.487012987012987
2004,"109","md",616,74,74,0,0,74,47,NA
2004,"109","wt",616,226,139,85,0,226,92,NA
2004,"110","all_deer",2241,867,717,142,13,854,482,0.386880856760375
2004,"110","md",2241,104,104,0,0,104,76,NA
2004,"110","wt",2241,755,605,142,13,742,399,NA
2004,"120","all_deer",2533,1087,730,341,28,1059,398,0.429135412554283
2004,"120","md",2533,66,63,4,0,66,26,NA
2004,"120","wt",2533,1020,667,338,28,992,372,NA
2004,"121","all_deer",3094,1536,1140,385,38,1499,759,0.496444731738849
2004,"121","md",3094,157,153,4,6,151,112,NA
2004,"121","wt",3094,1367,983,373,32,1336,644,NA
2004,"122","all_deer",2359,852,696,140,9,843,419,0.361169987282747
2004,"122","md",2359,208,205,4,4,205,93,NA
2004,"122","wt",2359,642,490,137,6,636,324,NA
2004,"123","all_deer",743,250,197,54,5,246,116,0.336473755047106
2004,"123","md",743,49,49,0,0,49,30,NA
2004,"123","wt",743,200,147,54,5,195,86,NA
2004,"124","all_deer",588,293,232,61,10,283,118,0.498299319727891
2004,"124","md",588,42,38,4,1,41,18,NA
2004,"124","wt",588,250,192,57,9,241,101,NA
2004,"130","all_deer",2698,1098,764,316,27,1072,472,0.406968124536694
2004,"130","md",2698,60,54,5,5,55,44,NA
2004,"130","wt",2698,1025,702,304,21,1004,425,NA
2004,"132","all_deer",1704,1047,629,410,46,1001,406,0.61443661971831
2004,"132","md",1704,44,38,7,0,44,30,NA
2004,"132","wt",1704,998,592,400,46,952,377,NA
2004,"140","all_deer",837,243,204,39,4,240,158,0.290322580645161
2004,"140","md",837,90,90,0,0,90,62,NA
2004,"140","wt",837,154,115,39,4,150,95,NA
2004,"141","all_deer",173,38,36,2,0,38,28,0.219653179190751
2004,"141","md",173,26,26,0,0,26,24,NA
2004,"141","wt",173,12,10,2,0,12,4,NA
2004,"150","all_deer",270,69,65,4,0,69,44,0.255555555555556
2004,"150","md",270,50,50,0,0,50,29,NA
