"license_year","hunting_district","hunters","total_harvest","bulls","cows","bow","rifle","x6_or_more_points","success_rate_per_hunter"
2004,"100",2075,124,68,49,17,107,27,0.0597590361445783
2004,"101",1459,86,49,34,10,76,17,0.0589444825222755
2004,"102",1437,35,16,14,3,33,2,0.0243562978427279
2004,"103",2559,139,68,61,21,118,24,0.0543180930050801
2004,"104",1584,124,94,27,15,109,34,0.0782828282828283
2004,"109",280,29,7,21,0,29,3,0.103571428571429
2004,"110",1060,85,71,14,6,79,17,0.080188679245283
2004,"120",990,40,33,7,10,30,10,0.0404040404040404
2004,"121",2593,348,191,151,75,273,77,0.13420748168145
2004,"122",1761,67,34,30,11,56,11,0.0380465644520159
2004,"123",720,81,50,24,15,66,10,0.1125
2004,"124",367,30,23,4,0,30,3,0.0817438692098093
2004,"130",1273,90,70,17,0,90,26,0.0706991358994501
2004,"132",559,53,19,31,6,47,6,0.0948121645796064
2004,"140",910,93,74,16,8,84,22,0.102197802197802
2004,"141",358,43,37,6,6,37,18,0.120111731843575
2004,"150",423,102,99,3,3,99,59,0.24113475177305
2004,"151",143,44,44,0,0,44,18,0.307692307692308
2004,"170",161,31,7,21,0,31,3,0.192546583850932
2004,"200",814,80,48,31,4,76,22,0.0982800982800983
2004,"201",1542,102,49,46,16,87,24,0.066147859922179
2004,"202",1591,149,97,45,25,124,45,0.0936517913262099
2004,"203",1028,98,53,40,10,88,18,0.0953307392996109
2004,"204",1730,273,76,183,25,248,30,0.157803468208092
2004,"210",1435,247,124,115,19,228,32,0.17212543554007
2004,"211",620,139,72,61,6,133,16,0.224193548387097
2004,"212",1785,287,154,125,27,260,33,0.16078431372549
2004,"213",693,174,71,101,7,167,14,0.251082251082251
2004,"214",699,58,27,27,3,55,3,0.0829756795422032
2004,"215",1814,249,170,75,18,231,44,0.137265711135612
2004,"216",599,70,34,30,11,59,18,0.11686143572621
2004,"240",1887,285,103,172,17,268,41,0.151033386327504
2004,"250",2108,380,100,252,28,353,22,0.180265654648956
2004,"260",133,8,8,0,6,3,3,0.0601503759398496
2004,"261",1182,188,65,113,16,172,22,0.159052453468697
2004,"270",3743,505,202,250,36,469,67,0.134918514560513
2004,"280",344,70,60,8,5,66,37,0.203488372093023
2004,"281",1487,124,48,69,13,111,11,0.0833893745796907
2004,"282",296,38,11,24,6,32,3,0.128378378378378
2004,"283",1415,123,61,57,10,113,11,0.0869257950530035
2004,"284",178,27,24,0,10,17,10,0.151685393258427
2004,"285",1785,167,106,52,13,154,20,0.0935574229691877
2004,"290",188,42,12,28,18,23,5,0.223404255319149
2004,"291",878,208,68,118,13,195,24,0.236902050113895
2004,"292",2081,333,175,145,14,319,39,0.160019221528111
2004,"293",1505,199,123,72,19,180,32,0.132225913621262
2004,"300",1044,259,151,97,11,248,33,0.248084291187739
2004,"301",1232,118,84,30,26,92,39,0.0957792207792208
2004,"302",770,136,51,67,7,129,10,0.176623376623377
2004,"310",1161,141,122,17,21,119,54,0.121447028423773
2004,"311",1105,268,113,133,17,252,80,0.242533936651584
2004,"312",1092,202,103,93,18,183,45,0.184981684981685
2004,"313",1533,521,113,382,1,520,95,0.339856490541422
2004,"314",2381,537,244,272,16,522,114,0.225535489290214
2004,"315",1398,381,164,198,21,360,48,0.272532188841202
2004,"316",381,60,54,6,0,60,41,0.15748031496063
2004,"317",706,142,60,83,5,138,28,0.201133144475921
2004,"318",988,94,58,37,9,86,14,0.0951417004048583
2004,"319",2421,344,130,188,28,316,20,0.14209004543577
2004,"320",1141,204,130,65,23,182,33,0.178790534618755
2004,"321",2120,353,179,147,61,293,58,0.166509433962264
2004,"322",668,132,51,78,8,124,17,0.197604790419162
2004,"323",1365,284,110,158,32,252,39,0.208058608058608
2004,"324",2409,489,183,275,24,465,36,0.202988792029888
2004,"325",1813,338,101,199,19,320,19,0.186431329288472
2004,"326",1424,206,57,127,6,201,12,0.144662921348315
2004,"327",1996,463,145,270,26,437,55,0.231963927855711
2004,"328",1099,250,111,109,32,218,29,0.227479526842584
2004,"329",2246,360,134,196,30,330,39,0.160284951024043
2004,"330",1790,299,143,138,23,276,63,0.167039106145251
2004,"331",2578,323,124,151,6,317,30,0.125290923196276
2004,"332",2006,293,110,164,22,271,27,0.146061814556331
2004,"333",869,115,46,56,8,107,11,0.132336018411968
2004,"335",961,103,50,48,15,87,23,0.107180020811655
2004,"339",731,131,64,57,11,120,8,0.179206566347469
2004,"340",1544,204,107,84,18,186,26,0.132124352331606
2004,"341",1007,75,27,33,11,64,11,0.0744786494538232
2004,"343",1133,105,48,47,8,97,20,0.0926743159752868
2004,"350",810,74,34,33,8,66,12,0.091358024691358
2004,"360",1877,498,234,218,23,476,114,0.265316995205115
2004,"361",573,74,32,36,14,60,11,0.129144851657941
2004,"362",1193,368,110,226,12,356,37,0.308466051969824
2004,"370",537,69,37,32,6,63,13,0.128491620111732
2004,"380",2532,405,252,136,50,356,75,0.159952606635071
2004,"390",521,196,62,128,2,195,45,0.376199616122841
2004,"391",1163,272,159,95,20,252,67,0.233877901977644
2004,"392",1880,307,125,169,34,274,43,0.163297872340426
2004,"393",1797,403,210,179,26,377,90,0.22426265998887
2004,"400",38,4,3,1,3,1,0,0.105263157894737
2004,"401",248,46,26,17,18,28,13,0.185483870967742
2004,"403",10,0,0,0,0,0,0,0
2004,"404",69,7,4,3,3,4,0,0.101449275362319
2004,"405",23,3,3,0,3,0,0,0.130434782608696
2004,"406",45,3,0,3,0,3,0,0.0666666666666667
2004,"410",2246,893,256,573,206,687,180,0.397595725734639
2004,"411",758,179,61,105,31,147,47,0.236147757255937
2004,"412",352,84,34,37,18,66,29,0.238636363636364
2004,"413",1089,110,65,37,13,97,23,0.101010101010101
2004,"415",161,16,8,7,0,16,3,0.0993788819875776
2004,"416",1400,189,119,65,14,176,43,0.135
2004,"417",728,225,87,128,34,191,66,0.309065934065934
2004,"418",537,53,23,28,7,47,5,0.0986964618249535
2004,"419",79,2,0,2,0,2,0,0.0253164556962025
2004,"420",181,16,9,7,1,15,0,0.0883977900552486
2004,"421",352,124,39,79,3,121,17,0.352272727272727
2004,"422",637,88,64,19,14,74,13,0.138147566718995
2004,"423",363,52,22,26,12,40,4,0.143250688705234
2004,"424",411,40,31,5,0,40,6,0.097323600973236
2004,"425",335,80,14,58,3,77,8,0.238805970149254
2004,"426",103,24,13,9,5,19,3,0.233009708737864
2004,"432",961,117,59,56,10,107,7,0.121748178980229
2004,"441",331,57,25,29,11,46,11,0.172205438066465
2004,"442",925,135,68,56,11,124,19,0.145945945945946
2004,"444",205,33,22,8,3,30,6,0.160975609756098
2004,"445",573,135,90,39,11,124,42,0.235602094240838
2004,"446",1044,335,117,196,14,321,63,0.32088122605364
2004,"447",594,109,70,35,34,75,51,0.183501683501683
2004,"448",991,120,72,45,28,92,18,0.12108980827447
2004,"449",617,137,65,62,11,126,10,0.222042139384117
2004,"450",147,20,0,16,0,20,0,0.136054421768707
2004,"452",500,124,71,52,7,117,21,0.248
2004,"454",1038,157,88,59,6,151,19,0.151252408477842
2004,"455",119,43,31,12,0,43,20,0.361344537815126
2004,"471",30,3,3,0,3,0,3,0.1
2004,"500",276,28,11,17,6,22,5,0.101449275362319
2004,"502",206,15,3,12,0,15,3,0.0728155339805825
2004,"510",36,7,3,5,0,7,3,0.194444444444444
2004,"511",94,15,7,8,4,11,6,0.159574468085106
2004,"520",1290,154,97,56,3,151,39,0.11937984496124
2004,"530",213,50,14,30,10,40,14,0.234741784037559
2004,"540",938,141,54,77,8,133,14,0.150319829424307
